Date,Count,Cases,count_3day,case_3day
2020-03-03,14,0,,
2020-03-04,4,1,,
2020-03-05,4,0,7.3,0.3
2020-03-06,2,0,3.3,0.3
2020-03-07,6,1,4.0,0.3
2020-03-08,4,1,4.0,0.7
2020-03-09,6,3,5.3,1.7
2020-03-10,9,3,6.3,2.3
2020-03-11,1,3,5.3,3.0
2020-03-12,18,6,9.3,4.0
2020-03-13,26,9,15.0,6.0
2020-03-14,15,13,19.7,9.3
2020-03-15,22,8,21.0,10.0
2020-03-16,44,14,27.0,11.7
2020-03-17,63,23,43.0,15.0
2020-03-18,39,27,48.7,21.3
2020-03-19,11,29,37.7,26.3
2020-03-20,9,28,19.7,28.0
2020-03-21,28,51,16.0,36.0
2020-03-22,28,67,21.7,48.7
2020-03-23,73,59,43.0,59.0
2020-03-24,37,56,46.0,60.7
2020-03-25,37,55,49.0,56.7
2020-03-26,45,54,39.7,55.0
2020-03-27,34,54,38.7,54.3
2020-03-28,31,111,36.7,73.0
2020-03-29,15,84,26.7,83.0
2020-03-30,53,52,33.0,82.3
2020-03-31,18,96,28.7,77.3
2020-04-01,21,51,30.7,66.3
2020-04-02,17,68,18.7,71.7
2020-04-03,30,49,22.7,56.0
2020-04-04,17,30,21.3,49.0
2020-04-05,5,20,17.3,33.0
2020-04-06,13,23,11.7,24.3
2020-04-07,6,33,8.0,25.3
2020-04-08,9,21,9.3,25.7
2020-04-09,11,16,8.7,23.3
2020-04-10,11,13,10.3,16.7
2020-04-11,2,24,8.0,17.7
2020-04-12,9,3,7.3,13.3
2020-04-13,12,13,7.7,13.3
2020-04-14,10,10,10.3,8.7
2020-04-15,12,8,11.3,10.3
2020-04-16,21,2,14.3,6.7
2020-04-17,5,1,12.7,3.7
2020-04-18,4,17,10.0,6.7
2020-04-19,3,9,4.0,9.0
2020-04-20,5,1,4.0,9.0
2020-04-21,1,7,3.0,5.7
2020-04-22,0,0,2.0,2.7
2020-04-23,1,1,0.7,2.7
2020-04-24,3,6,1.3,2.3
2020-04-25,2,3,2.0,3.3
2020-04-26,1,3,2.0,4.0
2020-04-27,10,0,4.3,2.0
2020-04-28,9,2,6.7,1.7
2020-04-29,2,3,7.0,1.7
2020-04-30,0,7,3.7,4.0
2020-05-01,3,3,1.7,4.3
2020-05-02,0,7,1.0,5.7
2020-05-03,6,13,3.0,7.7
2020-05-04,10,22,5.3,14.0
2020-05-05,2,17,6.0,17.3
2020-05-06,6,17,6.0,18.7
2020-05-07,2,14,3.3,16.0
2020-05-08,14,13,7.3,14.7
2020-05-09,14,10,10.0,12.3
2020-05-10,14,10,14.0,11.0
2020-05-11,21,7,16.3,9.0
2020-05-12,9,15,14.7,10.7
2020-05-13,2,5,10.7,9.0
2020-05-14,2,9,4.3,9.7
2020-05-15,10,20,4.7,11.3
2020-05-16,6,11,6.0,13.3
2020-05-17,2,7,6.0,12.7
2020-05-18,4,6,4.0,8.0
2020-05-19,2,6,2.7,6.3
2020-05-20,2,7,2.7,6.3
2020-05-21,5,1,3.0,4.7
2020-05-22,1,12,2.7,6.7
2020-05-23,2,9,2.7,7.3
2020-05-24,0,1,1.0,7.3
2020-05-25,4,2,2.0,4.0
2020-05-26,2,5,2.0,2.7
2020-05-27,1,8,2.3,5.0
2020-05-28,0,10,1.0,7.7
2020-05-29,2,6,1.0,8.0
2020-05-30,1,11,1.0,9.0
2020-05-31,0,4,1.0,7.0
2020-06-01,1,4,0.7,6.3
2020-06-02,2,10,1.0,6.0
2020-06-03,0,7,1.0,7.0
2020-06-04,0,8,0.7,8.3
2020-06-05,2,3,0.7,6.0
2020-06-06,1,0,1.0,3.7
2020-06-07,5,4,2.7,2.3
2020-06-08,0,2,2.0,2.0
2020-06-09,0,0,1.7,2.0
2020-06-10,1,4,0.3,2.0
2020-06-11,4,8,1.7,4.0
2020-06-12,4,4,3.0,5.3
2020-06-13,3,8,3.7,6.7
2020-06-14,1,9,2.7,7.0
2020-06-15,0,12,1.3,9.7
2020-06-16,0,9,0.3,10.0
2020-06-17,1,21,0.3,14.0
2020-06-18,4,18,1.7,16.0
2020-06-19,6,12,3.7,17.0
2020-06-20,47,25,19.0,18.3
2020-06-21,13,19,22.0,18.7
2020-06-22,11,11,23.7,18.3
2020-06-23,20,17,14.7,15.7
2020-06-24,15,20,15.3,16.0
2020-06-25,29,33,21.3,23.3
2020-06-26,5,30,16.3,27.7
2020-06-27,17,40,17.0,34.3
2020-06-28,11,41,11.0,37.0
2020-06-29,48,71,25.3,50.7
2020-06-30,32,60,30.3,57.3
2020-07-01,24,72,34.7,67.7
2020-07-02,32,72,29.3,68.0
2020-07-03,31,65,29.0,69.7
2020-07-04,67,101,43.3,79.3
2020-07-05,44,67,47.3,77.7
2020-07-06,42,124,51.0,97.3
2020-07-07,368,164,151.3,118.3
2020-07-08,128,118,179.3,135.3
2020-07-09,105,156,200.3,146.0
2020-07-10,111,281,114.7,185.0
2020-07-11,34,181,83.3,206.0
2020-07-12,28,239,57.7,233.7
2020-07-13,38,168,33.3,196.0
2020-07-14,43,257,36.3,221.3
2020-07-15,37,224,39.3,216.3
2020-07-16,43,302,41.0,261.0
2020-07-17,67,415,49.0,313.7
2020-07-18,40,188,50.0,301.7
2020-07-19,81,343,62.7,315.3
2020-07-20,45,246,55.3,259.0
2020-07-21,23,347,49.7,312.0
2020-07-22,149,450,72.3,347.7
2020-07-23,78,386,83.3,394.3
2020-07-24,32,280,86.3,372.0
2020-07-25,50,339,53.3,335.0
2020-07-26,78,437,53.3,352.0
2020-07-27,106,515,78.0,430.3
2020-07-28,75,353,86.3,435.0
2020-07-29,38,255,73.0,374.3
2020-07-30,211,694,108.0,434.0
2020-07-31,106,579,118.3,509.3
2020-08-01,100,354,139.0,542.3
2020-08-02,432,626,212.7,519.7
2020-08-03,300,380,277.3,453.3
2020-08-04,134,398,288.7,468.0
2020-08-05,147,700,193.7,492.7
2020-08-06,188,434,156.3,510.7
2020-08-07,78,398,137.7,510.7
2020-08-08,89,416,118.3,416.0
2020-08-09,102,376,89.7,396.7
2020-08-10,69,298,86.7,363.3
2020-08-11,99,294,90.0,322.7
2020-08-12,121,395,96.3,329.0
2020-08-13,41,217,87.0,302.0
2020-08-14,62,371,74.7,327.7
2020-08-15,59,283,54.0,290.3
2020-08-16,22,247,47.7,300.3
2020-08-17,67,263,49.3,264.3
2020-08-18,68,211,52.3,240.3
2020-08-19,87,208,74.0,227.3
2020-08-20,115,237,90.0,218.7
2020-08-21,67,169,89.7,204.7
2020-08-22,107,177,96.3,194.3
2020-08-23,139,202,104.3,182.7
2020-08-24,140,99,128.7,159.3
2020-08-25,116,134,131.7,145.0
2020-08-26,112,144,122.7,125.7
2020-08-27,121,106,116.3,128.0
2020-08-28,78,108,103.7,119.3
2020-08-29,124,81,107.7,98.3
2020-08-30,189,112,130.3,100.3
2020-08-31,204,65,172.3,86.0
2020-09-01,118,58,170.3,78.3
2020-09-02,157,86,159.7,69.7
2020-09-03,337,112,204.0,85.3
2020-09-04,196,79,230.0,92.3
2020-09-05,279,64,270.7,85.0
2020-09-06,679,59,384.7,67.3
2020-09-07,361,36,439.7,53.0
2020-09-08,220,41,420.0,45.3
2020-09-09,231,73,270.7,50.0
2020-09-10,230,40,227.0,51.3
2020-09-11,174,39,211.7,50.7
2020-09-12,150,33,184.7,37.3
2020-09-13,153,35,159.0,35.7
2020-09-14,137,37,146.7,35.0
2020-09-15,218,39,169.3,37.0
2020-09-16,143,32,166.0,36.0
2020-09-17,126,27,162.3,32.7
2020-09-18,206,42,158.3,33.7
2020-09-19,129,22,153.7,30.3
2020-09-20,137,8,157.3,24.0
2020-09-21,113,9,126.3,13.0
2020-09-22,143,25,131.0,14.0
2020-09-23,114,24,123.3,19.3
2020-09-24,147,5,134.7,18.0
2020-09-25,216,13,159.0,14.0
2020-09-26,17,11,126.7,9.7
2020-09-27,248,16,160.3,13.3
2020-09-28,122,4,129.0,10.3
